window,action,reward,snr_improvement,threshold_factor
"(0, 9)",[[-0.8712158]],1.1193388391774082,1.99280345737259,0.6287841796875
"(1, 10)",[[-1.]],-14.046275031011053,1.7808706627980335,0.5
"(2, 11)",[[-1.]],-14.118735182527136,1.4517881233092744,0.5
"(3, 12)",[[-1.]],-13.720759622098516,2.5024174401966786,0.5
"(4, 13)",[[-1.]],-14.191972451937463,1.869254493006629,0.5
"(5, 14)",[[-1.]],-13.300745639806502,3.003372952060184,0.5
"(6, 15)",[[1.]],-14.401775069831453,2.339843043069086,2.5
"(7, 16)",[[-1.]],-13.34567343970592,3.725581937494015,0.5
"(8, 17)",[[-1.]],-15.198331865994245,1.1411121444815677,0.5
"(9, 18)",[[-1.]],-13.33039532036712,3.4825840350071537,0.5
"(10, 19)",[[1.]],-13.524863864675334,3.2408494990973864,2.5
"(11, 20)",[[-1.]],-14.05161284476039,2.6346381770084815,0.5
"(12, 21)",[[-1.]],-14.577018507267315,2.052167360439956,0.5
"(13, 22)",[[-1.]],-14.18595247552207,2.2162222511419802,0.5
"(14, 23)",[[-1.]],-13.982178345127664,2.489959631623046,0.5
"(15, 24)",[[-1.]],-14.963151988230509,1.189407240709869,0.5
"(16, 25)",[[-1.]],-13.224337031819662,1.6009089696149168,0.5
"(17, 26)",[[-1.]],-13.503812759880532,1.3025534898163684,0.5
"(18, 27)",[[-1.]],-13.335616116990977,1.8832710226541458,0.5
"(19, 28)",[[1.]],-13.651378207768383,1.734279936267555,2.5
"(20, 29)",[[1.]],-13.843424898076002,1.6951123072809935,2.5
"(21, 30)",[[-1.]],-13.269302947998504,2.0296183462207615,0.5
"(22, 31)",[[-1.]],-13.903785147442743,1.2928187410368697,0.5
"(23, 32)",[[1.]],-13.132372425201009,2.399536638318823,2.5
"(24, 33)",[[-1.]],-15.283621465802621,1.574734408415929,0.5
"(25, 34)",[[1.]],-15.043723486117214,1.9693517877743485,2.5
"(26, 35)",[[1.]],-15.146979288616441,1.791829401081201,2.5
"(27, 36)",[[-1.]],-14.873332090524508,2.137397741413615,0.5
"(28, 37)",[[-1.]],-15.524346152751152,1.331405565605178,0.5
"(29, 38)",[[1.]],-14.904098661480347,2.165828570824952,2.5
"(30, 39)",[[1.]],-14.406423281481214,2.5612136343541456,2.5
"(31, 40)",[[-1.]],-14.324535029736774,2.635188851267146,0.5
"(32, 41)",[[1.]],-14.448278570028247,2.3229782139341335,2.5
"(33, 42)",[[1.]],-13.948823523019838,2.929802243817793,2.5
"(34, 43)",[[-1.]],-10.095819774261702,5.8609579521371415,0.5
"(35, 44)",[[-1.]],-10.632043075660992,5.132612220959894,0.5
"(36, 45)",[[-1.]],-13.035263713120017,1.5112816778746705,0.5
"(37, 46)",[[-1.]],-12.290615317805473,2.5022414925831793,0.5
"(38, 47)",[[-1.]],-13.51924086633083,1.7942615940433004,0.5
"(39, 48)",[[-1.]],-13.385745124294912,1.2148019955813787,0.5
"(40, 49)",[[-1.]],-12.477163701351616,2.368109397502618,0.5
"(41, 50)",[[-1.]],-13.701656081761527,1.1693024924205346,0.5
"(42, 51)",[[-1.]],-12.521789558671754,2.6605436687535775,0.5
"(43, 52)",[[-1.]],-12.859352126994402,2.299021095779258,0.5
"(44, 53)",[[-1.]],-12.639308952310023,2.5633431357874983,0.5
