sample_index,clean_signal,noisy_signal,filtered_signal
9,2739.0,2715.0,0.9990407933682315
10,2789.0,2676.0,2626.213538908176
11,2826.0,2819.0,2637.094589508681
12,2852.0,3851.0,3197.9622074959
13,2865.0,2628.0,3040.815772628133
14,2865.0,3062.0,2640.4109537069003
15,2852.0,1211.0,1883.1540792546537
16,2826.0,2803.0,2111.566384649932
17,2789.0,2962.0,2850.617666687381
18,2739.0,2683.0,2997.1051694435628
19,2679.0,2306.0,2539.836523008701
20,2608.0,1953.0,2117.2717938789374
21,2529.0,2782.0,2575.916722702324
22,2442.0,2472.0,2653.3495299123865
23,2349.0,2379.0,2588.4628035388873
24,2251.0,2091.0,2020.765683606094
25,2150.0,2832.0,2720.0426521960662
26,2048.0,2180.0,2470.620041755777
27,1945.0,2464.0,2420.187589661209
28,1844.0,1272.0,1801.8913629054707
29,1746.0,1005.0,1168.9070019724252
30,1653.0,1516.0,1372.0334169301398
31,1566.0,1224.0,1540.442620183885
32,1487.0,1862.0,1791.0848652152672
33,1416.0,3383.0,2887.1378253364715
34,1356.0,1602.0,2664.0056563390626
35,1306.0,638.0,1241.610493696961
36,1269.0,1251.0,840.04089530226
37,1243.0,1468.0,1274.444171025418
38,1230.0,340.0,997.7969355264125
39,1230.0,1381.0,934.2865797494246
40,1243.0,1002.0,1161.3486751634493
41,1269.0,1312.0,1436.8790934929316
42,1306.0,1290.0,1592.1160829425035
43,1356.0,1317.0,1345.9530988188517
44,1416.0,1665.0,1400.6325003941618
45,1487.0,1569.0,1582.9161203193667
46,1566.0,1812.0,1700.1640755826895
47,1653.0,2574.0,2409.029213461556
48,1746.0,1500.0,1617.7121859534514
49,1844.0,1985.0,1724.5005633831702
50,1945.0,1436.0,1504.327363454399
51,2047.0,2056.0,1711.4590410543044
52,2150.0,1961.0,1914.4431516951438
53,2251.0,2247.0,2103.4773384574573
54,2349.0,2526.0,2309.6268260885377
55,2442.0,3073.0,2735.3564597497616
56,2529.0,2887.0,2986.6605903363993
57,2608.0,2553.0,2534.7765340610476
58,2679.0,3098.0,2940.107844346123
59,2739.0,2628.0,2606.6556854215964
60,2789.0,3324.0,3144.3846395761875
61,2826.0,3154.0,3035.1922566264857
62,2852.0,2843.0,2924.2401462279786
63,2865.0,3054.0,2860.875891822753
64,2865.0,3394.0,3178.650396680061
65,2852.0,2328.0,2528.185032673663
66,2826.0,2745.0,2504.196907400561
67,2789.0,3205.0,2918.981120537366
68,2739.0,984.0,2152.8920224466265
69,2679.0,2594.0,1984.855321913254
70,2608.0,2348.0,2426.970809695449
71,2529.0,2366.0,2646.471105383329
72,2442.0,2872.0,2747.0370419592923
73,2349.0,2567.0,2798.6558104246483
74,2251.0,2400.0,2484.8388329752643
75,2150.0,2262.0,2325.1812979614374
76,2048.0,2162.0,2312.1655581058403
77,1945.0,2593.0,2214.326809467879
78,1844.0,2023.0,2136.3416450424234
79,1746.0,1266.0,1710.5097659485757
80,1653.0,1686.0,1507.162462744675
81,1566.0,1233.0,1596.2182241523867
82,1487.0,1944.0,1819.7321812795724
83,1416.0,1817.0,1979.0085022726935
84,1356.0,0.0,1081.9506607512626
85,1306.0,1472.0,882.5156467032816
86,1269.0,2079.0,1840.4853258240619
87,1243.0,1477.0,1918.5129889691557
88,1230.0,1427.0,1460.1756871706302
89,1230.0,715.0,991.4154745240513
90,1243.0,1029.0,874.0175592732148
91,1269.0,2390.0,1772.9755627359966
92,1306.0,1719.0,2123.0914413553237
93,1356.0,1575.0,1526.9917852534743
94,1416.0,1017.0,1178.8884635666118
95,1487.0,1392.0,1261.2062699293715
96,1566.0,1289.0,1339.8145652757246
97,1653.0,1185.0,1280.4560541997141
98,1746.0,2018.0,1793.2332973044422
99,1844.0,2111.0,1988.4849795278567
100,1945.0,1742.0,2066.24856455336
101,2047.0,2003.0,1824.0429766637951
102,2150.0,1975.0,1869.4082600033569
103,2251.0,2603.0,2296.623633777671
104,2349.0,2169.0,2255.4240764805677
105,2442.0,2097.0,2015.682813356191
106,2529.0,2796.0,2378.5049019796597
107,2608.0,2414.0,2536.0007367063754
108,2679.0,2590.0,2503.02469377685
109,2739.0,2664.0,2449.943810701048
110,2789.0,4095.0,3826.2692400795586
111,2826.0,2925.0,3289.527253935833
112,2852.0,3136.0,3017.2619794260386
113,2865.0,3238.0,2890.9619720069545
114,2865.0,2403.0,2666.1500211025404
115,2852.0,2556.0,2486.192001924628
116,2826.0,2563.0,2443.1702440407175
117,2789.0,2899.0,2765.4379771615354
118,2739.0,2675.0,2816.0287503270933
119,2679.0,3479.0,3302.8297251299755
120,2608.0,2762.0,3110.5568294694112
121,2529.0,2115.0,2378.6864129269893
122,2442.0,2231.0,2178.9082089075855
123,2349.0,3000.0,2585.3514999539334
124,2251.0,2435.0,2751.9280788288465
125,2150.0,3050.0,2803.132221307046
126,2047.0,2154.0,2578.517950021082
127,1945.0,0.0,1185.696823167237
128,1844.0,2301.0,1611.761553633632
129,1746.0,1489.0,1918.6085325247932
130,1653.0,1524.0,1867.4946806733928
131,1566.0,1989.0,1802.8941723430198
132,1487.0,1755.0,2035.404748133072
133,1416.0,441.0,1323.667485645456
134,1356.0,1413.0,1109.1325818061941
135,1306.0,1672.0,1585.2483206461648
136,1269.0,913.0,1222.7006593393512
137,1243.0,1594.0,1420.4842551108336
138,1230.0,937.0,1210.6278895964178
139,1230.0,1427.0,1310.4408021650527
140,1243.0,1286.0,1413.955293804729
141,1269.0,1361.0,1412.4430526219755
142,1306.0,1424.0,1270.6094080364564
143,1356.0,1022.0,1229.6432681537224
144,1416.0,1817.0,1477.7802001222767
145,1487.0,1725.0,1657.3768262036306
146,1566.0,1748.0,1802.8135457400601
