window,action,reward,snr_improvement,threshold_factor
"(0, 9)",[[-1.]],-11.327635537510634,-2.417479549876589e-09,0.5
"(1, 10)",[[-1.]],-0.9192910722034917,-2.362448014991969e-09,0.5
"(2, 11)",[[-0.8821632]],-0.8956280682604347,-1.6480825593134796e-09,0.6178367733955383
"(3, 12)",[[-0.8821623]],-0.975722556343124,-2.9343709684326313e-09,0.6178377270698547
"(4, 13)",[[-0.8821628]],-0.8106276414571182,1.3650172547841066e-08,0.6178371906280518
"(5, 14)",[[-0.88216317]],-0.8983366130050838,1.297966178981369e-08,0.6178368330001831
"(6, 15)",[[-0.88216215]],-0.813989659432548,1.6833610061439686e-08,0.6178378462791443
"(7, 16)",[[-0.8821633]],-0.9100299028176406,1.0332193767226272e-08,0.6178367137908936
"(8, 17)",[[-0.8821622]],-0.8316186390997867,1.2989765707516199e-08,0.6178377866744995
"(9, 18)",[[-0.88216287]],-0.910029880368957,1.0332193767226272e-08,0.617837131023407
"(10, 19)",[[-0.88216317]],-0.8316193833472547,1.2989737285806768e-08,0.6178368330001831
"(11, 20)",[[-0.88216215]],-0.9100298419681271,1.0332193767226272e-08,0.6178378462791443
"(12, 21)",[[-0.8821632]],-0.8506927316238009,1.2455672049327404e-08,0.6178367733955383
"(13, 22)",[[-0.8821623]],-0.9103024103029824,1.040852737332898e-08,0.6178377270698547
"(14, 23)",[[-0.88216287]],-0.9488963008522437,-2.281495881106821e-09,0.617837131023407
"(15, 24)",[[-0.88216317]],-1.0017558403935118,-3.05228553543202e-09,0.6178368330001831
"(16, 25)",[[-0.88216215]],-0.8888586380912797,-2.4789272856651223e-09,0.6178378462791443
"(17, 26)",[[-0.8821632]],-0.9635654156006564,-4.912479312224605e-10,0.6178367733955383
"(18, 27)",[[-0.8821623]],-0.8425559399799227,1.2270646720935474e-09,0.6178377270698547
"(19, 28)",[[-0.8821629]],-0.9635655640630427,-4.912479312224605e-10,0.6178370714187622
"(20, 29)",[[-0.8821631]],-0.8057950102138064,3.692647965181095e-09,0.6178368926048279
"(21, 30)",[[-0.88216215]],-0.9696460187787298,2.7195312668482075e-09,0.6178378462791443
"(22, 31)",[[-0.8821632]],-0.9007698677812113,3.744133891814272e-09,0.6178367733955383
"(23, 32)",[[-0.8821622]],-0.8610469944081987,-2.3104789192984754e-09,0.6178377866744995
"(24, 33)",[[-0.8821629]],-0.8086915859160864,-1.3829719591740286e-09,0.6178370714187622
"(25, 34)",[[-0.88216317]],-0.8876107730891193,-8.382087912650604e-09,0.6178368330001831
"(26, 35)",[[-0.88216215]],-0.8910738192305301,-8.48532266672919e-09,0.6178378462791443
"(27, 36)",[[-0.88216317]],-0.8659137672225984,-1.0856972210149252e-08,0.6178368330001831
"(28, 37)",[[-0.8821622]],-0.9117651743160348,-1.2217562073146837e-08,0.6178377866744995
"(29, 38)",[[-0.8821629]],-0.8659138292196578,-1.0856972210149252e-08,0.6178370714187622
"(30, 39)",[[-0.88216317]],-0.9220199120123819,-1.2426561113443313e-08,0.6178368330001831
"(31, 40)",[[-0.8821622]],-0.8333335311627236,-1.1092993190686684e-08,0.6178377866744995
"(32, 41)",[[-0.8821632]],-0.8768696601057561,-1.2299963714212936e-08,0.6178367733955383
"(33, 42)",[[-0.8821622]],-0.89247244884466,-6.062492730052327e-09,0.6178377866744995
"(34, 43)",[[-0.8821629]],-0.9360301254055879,-7.18270598554227e-09,0.6178370714187622
"(35, 44)",[[-0.8821631]],-0.8565876331276406,7.617018127348274e-12,0.6178368926048279
"(36, 45)",[[-0.88216215]],-0.8565876331276363,7.624123554705875e-12,0.6178378462791443
"(37, 46)",[[-0.8821632]],-0.8565876243778704,7.702283255639486e-12,0.6178367733955383
"(38, 47)",[[-0.8821622]],-0.85658762437787,7.702283255639486e-12,0.6178377866744995
"(39, 48)",[[-0.88216287]],-0.8565876181280214,7.787548383930698e-12,0.617837131023407
"(40, 49)",[[-0.88216305]],-0.8565876181280132,7.8017592386459e-12,0.6178369522094727
"(41, 50)",[[-0.8821622]],-0.8565876181280214,7.787548383930698e-12,0.6178377866744995
"(42, 51)",[[-0.8821632]],-0.8565876093782556,7.865708084864309e-12,0.6178367733955383
"(43, 52)",[[-0.8821622]],-0.8565876093782502,7.87281351222191e-12,0.6178377866744995
"(44, 53)",[[-0.88216287]],-0.7753089172585931,5.157083649010019e-09,0.617837131023407
"(45, 54)",[[-0.8821631]],-0.8402143314618312,4.478806658880785e-09,0.6178368926048279
"(46, 55)",[[-0.88216215]],-0.7765393805288334,5.145089687630389e-09,0.6178378462791443
"(47, 56)",[[-0.8821633]],-0.8399319391286472,4.4629686613006925e-09,0.6178367137908936
"(48, 57)",[[-0.8821622]],-0.7765394301781225,5.145089687630389e-09,0.6178377866744995
"(49, 58)",[[-0.88216287]],-0.8415589933895797,4.461341518435802e-09,0.617837131023407
"(50, 59)",[[-0.88216317]],-0.7815802285295645,5.10264186459608e-09,0.6178368330001831
"(51, 60)",[[-0.8821621]],-0.8403328638832702,4.465164238354191e-09,0.6178379058837891
"(52, 61)",[[-0.8821632]],-0.8477773479357827,7.680640123908233e-09,0.6178367733955383
"(53, 62)",[[-0.8821622]],-0.8089305024538638,8.264997575224697e-09,0.6178377866744995
"(54, 63)",[[-0.88216287]],-0.9201195114083388,2.58076227055426e-09,0.617837131023407
"(55, 64)",[[-0.8821631]],-0.80957171868566,3.802171022471157e-09,0.6178368926048279
"(56, 65)",[[-0.88216215]],-0.9254784278332865,2.5764919087123417e-09,0.6178378462791443
"(57, 66)",[[-0.8821632]],-0.802506853879888,3.879343069002061e-09,0.6178367733955383
"(58, 67)",[[-0.8821622]],-0.9254784224709556,2.5764919087123417e-09,0.6178377866744995
"(59, 68)",[[-0.8821628]],-0.8025065369391944,3.879343069002061e-09,0.6178371906280518
"(60, 69)",[[-0.8821631]],-0.9317771715754192,9.583800419932231e-11,0.6178368926048279
"(61, 70)",[[-0.88216215]],-0.8862780403944938,6.603571023333643e-10,0.6178378462791443
"(62, 71)",[[-0.8821632]],-0.8888879338675406,-2.5171402739943005e-09,0.6178367733955383
"(63, 72)",[[-0.8821622]],-0.9485860601327197,-3.1797284805179515e-09,0.6178377866744995
"(64, 73)",[[-0.8821629]],-0.8888879370012117,-2.5171402739943005e-09,0.6178370714187622
"(65, 74)",[[-0.88216317]],-0.9469972107730384,-3.179046359491622e-09,0.6178368330001831
"(66, 75)",[[-0.88216215]],-0.8876518200664918,-2.5188811036969128e-09,0.6178378462791443
"(67, 76)",[[-0.8821632]],-0.9584998415965672,-5.767120114796853e-10,0.6178367733955383
