window,action,reward,snr_improvement,threshold_factor
"(0, 9)",-0.7323663234710693,1.7227382686292843,1.99280345737259,0.7676336765289307
"(1, 10)",-0.5769510865211487,1.5721692560917688,1.7808706563871812,0.9230489134788513
"(2, 11)",-0.5879331231117249,1.413862353022942,1.613525217561758,0.9120668768882751
"(3, 12)",0.13003206253051758,2.147344429038061,2.5019068160421085,1.6300320625305176
"(4, 13)",0.7527526617050171,1.7682776208880417,1.9654317241319088,2.252752661705017
"(5, 14)",0.6926741600036621,2.6116654258386567,3.003372941398542,2.192674160003662
"(6, 15)",0.8769385814666748,1.985172313661887,2.339843037939062,2.376938581466675
"(7, 16)",0.9005765914916992,3.111976194634342,3.827971737637741,2.400576591491699
"(8, 17)",0.9735822677612305,2.528415074957703,3.2159490740710517,2.4735822677612305
"(9, 18)",0.9748280048370361,2.761960354580186,3.4825840235696077,2.474828004837036
"(10, 19)",0.9890902042388916,2.606979972937568,3.240849489142482,2.4890902042388916
"(11, 20)",0.9811587333679199,2.191399588938683,2.634638170230371,2.48115873336792
"(12, 21)",0.9578969478607178,2.5721305853280927,3.167021193977554,2.4578969478607178
"(13, 22)",0.9624664783477783,2.0321689162452654,2.5540892767211343,2.4624664783477783
"(14, 23)",0.9455006122589111,3.0697042229373404,3.9487338066618047,2.445500612258911
"(15, 24)",0.9700089693069458,1.6064093932437409,1.9983938770111624,2.470008969306946
"(16, 25)",0.943934440612793,3.5547180436968127,4.278198485700415,2.443934440612793
"(17, 26)",0.9733940362930298,0.9384579147095248,1.1241644413990919,2.47339403629303
"(18, 27)",0.8007974624633789,2.4941200274320683,3.112181603379234,2.300797462463379
"(19, 28)",0.8660070896148682,1.436179026937788,1.734279927468286,2.366007089614868
"(20, 29)",0.6492202281951904,1.5032511457761917,1.6951123007170406,2.1492202281951904
"(21, 30)",0.6295760869979858,1.8208625910787601,2.029618336701576,2.129576086997986
"(22, 31)",0.6933548450469971,1.2097458453482914,1.2928187360238184,2.193354845046997
"(23, 32)",0.5306034088134766,2.090642353879962,2.399536629165251,2.0306034088134766
"(24, 33)",0.6878528594970703,1.4351280762269003,1.793221298526884,2.1878528594970703
"(25, 34)",0.7602646350860596,1.498930659420186,1.969351785800086,2.2602646350860596
"(26, 35)",0.9007599353790283,1.3787967304898525,1.7918293994814363,2.4007599353790283
"(27, 36)",0.7880222797393799,1.6514497516043394,2.1376808588204668,2.28802227973938
"(28, 37)",0.9356560707092285,1.254915977991533,1.7442330381595905,2.4356560707092285
"(29, 38)",0.9352010488510132,1.6486346959632214,2.1658285694086805,2.435201048851013
"(30, 39)",0.895876407623291,2.0448160144716923,2.5612136326261528,2.395876407623291
"(31, 40)",0.9640219211578369,2.126142056919176,2.6351888496678493,2.464021921157837
"(32, 41)",0.9745299816131592,1.9542313959311373,2.3229782126861602,2.474529981613159
"(33, 42)",0.9923683404922485,2.43673122582419,2.929802242235702,2.4923683404922485
"(34, 43)",0.9969487190246582,4.79755290023259,5.860957936238243,2.496948719024658
"(35, 44)",0.9997642040252686,5.762378855423421,6.954094704039582,2.4997642040252686
"(36, 45)",0.9998681545257568,4.317439271129876,5.156499045858643,2.499868154525757
"(37, 46)",0.9999401569366455,4.056123594499592,4.79619029050335,2.4999401569366455
"(38, 47)",0.999173641204834,3.4658667717836833,4.074666082202434,2.499173641204834
"(39, 48)",0.9974247217178345,3.0774561242349234,3.5692674429103057,2.4974247217178345
"(40, 49)",0.9988307952880859,2.2153009524839766,2.5566287325963746,2.498830795288086
"(41, 50)",0.970203161239624,2.609042299587106,3.1067598673421664,2.470203161239624
"(42, 51)",0.9856642484664917,2.2307888204394115,2.6605436570903613,2.4856642484664917
"(43, 52)",0.9221324920654297,2.461621831500913,2.9576377019571876,2.4221324920654297
"(44, 53)",0.9380419254302979,2.1685829301830646,2.590576176316068,2.438041925430298
"(45, 54)",0.8968479633331299,2.4462209701819426,2.900626251484832,2.39684796333313
"(46, 55)",0.9051640033721924,1.6690348884487975,1.9363047030088403,2.4051640033721924
"(47, 56)",0.8340824842453003,1.655389760055238,1.8522333119048096,2.3340824842453003
"(48, 57)",0.8081021308898926,1.684288523906223,1.8353007616529382,2.3081021308898926
"(49, 58)",0.6795270442962646,1.763823184183839,1.9320040745602718,2.1795270442962646
"(50, 59)",0.5915032625198364,1.5085125498873928,1.6257966094813128,2.0915032625198364
"(51, 60)",0.542454719543457,1.8284612656328385,2.0231073465431173,2.042454719543457
"(52, 61)",0.5798821449279785,1.1954987953622105,1.245175562476792,2.0798821449279785
"(53, 62)",0.5588144063949585,1.6494966146738412,1.8259398651016099,2.0588144063949585
"(54, 63)",0.620652437210083,1.2791147249101313,1.450300785586073,2.120652437210083
"(55, 64)",0.5665850639343262,1.4728749480765237,1.6843735302232368,2.066585063934326
"(56, 65)",0.6806857585906982,4.209216123925201,5.03684942800265,2.1806857585906982
"(57, 66)",0.9200296401977539,2.3439400379030277,2.8735047397928817,2.420029640197754
"(58, 67)",0.8521722555160522,3.9430210828716024,4.9158746671008835,2.3521722555160522
"(59, 68)",0.9932544231414795,4.822576337260507,5.8193069146752165,2.4932544231414795
"(60, 69)",0.9989936351776123,2.6537718286051373,3.1220023017787124,2.4989936351776123
"(61, 70)",0.9875915050506592,4.459926384591814,5.361314291468183,2.487591505050659
"(62, 71)",0.999398946762085,3.3397473434068723,4.03053927913078,2.499398946762085
"(63, 72)",0.998937726020813,3.9076452131107415,4.78312008178758,2.498937726020813
"(64, 73)",0.9994120597839355,2.893104267036883,3.6530572521647215,2.4994120597839355
